Start Time,End Time,Speaker,Text
0,17.44,SPEAKER_00, Please say hello to stars.
17.44,18.96,SPEAKER_01, Hello.
18.96,21.48,SPEAKER_00, I didn't understand your response.
21.48,22.6,SPEAKER_01, Hello.
22.6,25.2,SPEAKER_00, Please say hello to stars.
25.2,26.12,SPEAKER_01, Hello.
26.12,27.2,SPEAKER_00," I'm sorry, sir."
27.2,28.8,SPEAKER_00, I can't understand you.
28.8,31.56,SPEAKER_00, Could you please repeat your response?
31.56,32.48,SPEAKER_01, Hello.
32.48,34.76,SPEAKER_00, I'm still waiting for your response.
34.76,36.84,SPEAKER_00, Please say hello to stars.
36.84,37.68,SPEAKER_01, Hello.
37.68,38.68,SPEAKER_01, Hello.
38.68,39.68,SPEAKER_01, Hello.
42.52,43.04,SPEAKER_01, Ola.
43.04,46.64,SPEAKER_00, Calling I rabbit international help desk for assistance.
46.64,48.12,SPEAKER_03," Hello, sir."
48.12,53.2,SPEAKER_03," Thank you for purchasing the IRABID, your own personal digital animal."
53.2,54.96,SPEAKER_03," Roger, your service, sir."
54.96,58.88,SPEAKER_03," Before I can help you, I would please spell your name for me, sir."
58.88,60.92,SPEAKER_01, T.
60.92,61.92,SPEAKER_01, Ash.
66.8,69.2,SPEAKER_01, E.
69.2,70.24,SPEAKER_03, Is that an o-ser?
70.24,71.08,SPEAKER_01, Yes.
71.08,73.52,SPEAKER_01, E.
73.52,75.52,SPEAKER_01, Air.
75.52,77.2,SPEAKER_01, One more air.
77.2,78.24,SPEAKER_01, E. Glike.
78.24,80.92,SPEAKER_03," That is not a letter, sir."
80.92,82.76,SPEAKER_01, It's the letter E. Glike.
84.96,93.84,SPEAKER_03," Can I just call you Greg, sir?"
93.84,94.92,SPEAKER_01, I'm T. R.
94.92,96.72,SPEAKER_01, T. R.
96.72,98.72,SPEAKER_03, B. N. S. R.
98.72,98.92,SPEAKER_03, B. N. S. R.
98.92,103.84,SPEAKER_03," How can I help you today, Mr. Greg?"
103.84,105.4,SPEAKER_01, I try to start my IRABID.
105.4,106.4,SPEAKER_01, It doesn't work.
106.4,108.2,SPEAKER_01,Very tired.
108.2,109.2,SPEAKER_01, I'm angry.
109.2,111.28,SPEAKER_03," So if you're hungry, I can call you back after lunch."
111.28,112.4,SPEAKER_01," No, wait."
112.4,113.6,SPEAKER_01, I shake the rabbit.
113.6,114.72,SPEAKER_01, It doesn't function.
114.72,116.84,SPEAKER_03," Sir, please do not shake your IRABID."
116.84,119,SPEAKER_03, Press the tail to start.
119,120,SPEAKER_01, I tried.
120,121,SPEAKER_01, I tried.
121,122.24,SPEAKER_01, It never works.
122.24,123.16,SPEAKER_03, I ate the rabbit.
123.16,127.36,SPEAKER_03," Sir, your one-year limited guarantee doesn't cover chewing or biting the device."
127.36,129.44,SPEAKER_01," No, I hate the rabbit."
129.44,131.44,SPEAKER_03," You think it can cause fire in your house, sir?"
131.44,132.76,SPEAKER_03," No, I eat the rabbit."
132.76,134.92,SPEAKER_03," I understand that you're an average jury, Mr. Greg."
134.92,139.56,SPEAKER_03," But I would personally advise you to not eat the equipment, sir."
139.56,141.36,SPEAKER_01," Can I talk to your chef, please?"
141.36,144.04,SPEAKER_03, I'm calling from IRABID International Health Desk.
144.28,145.72,SPEAKER_03," It's not a restaurant, sir."
145.72,146.76,SPEAKER_01, Don't restaurant.
146.76,150.6,SPEAKER_01, I would like to talk to your chief.
150.6,153.08,SPEAKER_03, We are best in a developed country here.
153.08,155.2,SPEAKER_03, We don't have any chiefs or tribes now.
155.2,156.76,SPEAKER_01, But I pay a lot of money.
156.76,157.8,SPEAKER_01, It is not cheap.
157.8,158.6,SPEAKER_03," Exactly, sir."
158.6,159.32,SPEAKER_03, It's a rabbit.
159.32,160.68,SPEAKER_03, Not a sheep.
160.68,162.24,SPEAKER_01, I mean it is not a ship.
162.24,165.8,SPEAKER_03," It's a rabbit, not a ship."
165.8,166.8,SPEAKER_01, It's not cheap.
166.8,169.24,SPEAKER_03, It does have an electronic chip inside.
169.24,170.88,SPEAKER_01, Please.
170.88,172.68,SPEAKER_03, Fook you some of my problem.
172.68,174.12,SPEAKER_03," Don't quite understand you, sir."
174.12,175.04,SPEAKER_01," Please, figures."
175.04,176.24,SPEAKER_03, I beg your pardon.
176.24,179.96,SPEAKER_01, Please focus on the heartbeat.
179.96,180.96,SPEAKER_03," I'm sorry, sir."
180.96,183,SPEAKER_03, I can't accept that kind of language.
183,186.44,SPEAKER_03," Thank you for purchasing the IRABID, your personal digital animal."
203.52,205.96,SPEAKER_01, Hello.
205.96,210.04,SPEAKER_00," Welcome, Greg."
210.04,213.04,SPEAKER_01, The name is Tiri.
213.04,214.44,SPEAKER_00, Nice to meet you.
214.44,215.44,SPEAKER_00, Tiri.
215.44,217.64,SPEAKER_00, What can I do for you?
217.64,218.64,SPEAKER_00, Tiri.
